mouse_num,sex,strain,dob,Pten-flox,N-TVA,ATRX,H11LSL-Cas9,Ink4a/Arf lox,death_date,dispos
24801-00,F,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
24802-01,F,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
24803-03,F,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
24804-10,F,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,+/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
24805-00,M,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
24806-01,M,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,12/17/2021,Sacked because not worth keeping in separate cage (fighting)
24807-03,M,N-TVA+;Ptenf/f;ATRX+/+;Cas9f/f;Inkf/f,22-Sep-20,Flox/Flox,Tg/+,+/+,Flox/Flox,Flox/Flox,3/5/2021,Experimental end date
30212-00,F,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30213-00,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30214-01,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30215-03,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30216-10,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30217-11,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
30218-30,M,N-TVA::Cas9f/f;Inkf/f,9-May-22,,Tg/+,,Flox/Flox,Flox/Flox,10/7/2022,
