Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44591,,
Mouse ID,28200-00,,
Disposition,"Lethargic, red discharge around eye",,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
BD,44481,,
Sac Date,44591,,
Age at Sac,110,,
Injection Date,44483,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 (RH 10/14/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,1/20/22 lethargic and red discharge around eye,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA::Ptenf/f;Atrx+/+;Cas9f/f;Inkf/f,,
Tissue collected,"Brain, Lungs, Liver, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver, T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"intracranial tumor, under left hemisphere, appears to be an optic tumor, sacked for lethargy and red discharge around eye, tumor was attached to skull, all other organs appeared normal",,
